iter	MultiClass
0	2.186062167
1	2.096339206
2	2.049083882
3	1.985959626
4	1.898344653
5	1.828132928
6	1.761102301
7	1.700237705
8	1.644363308
9	1.590466436
10	1.542840525
11	1.499534439
12	1.435276827
13	1.400329333
14	1.34989128
15	1.310739535
16	1.261614225
17	1.221428805
18	1.200510005
19	1.173859894
20	1.127652938
21	1.085987234
22	1.069231976
23	1.044820348
24	1.021415773
25	0.9993557565
26	0.9617612616
27	0.9477375183
28	0.9356246092
29	0.9041678128
30	0.8769944063
31	0.8550128818
32	0.8430849827
33	0.8033943039
34	0.7774791889
35	0.741874121
36	0.7248336254
37	0.7031321516
38	0.6668488493
39	0.6556838911
40	0.6377465916
41	0.6218341445
42	0.6091813139
43	0.5952490575
44	0.5899876343
45	0.5544162762
46	0.5405673424
47	0.5336493807
48	0.5104928879
49	0.5038068489
50	0.4874989374
51	0.4808478135
52	0.4629285927
53	0.4490788631
54	0.4376388806
55	0.4298422024
56	0.4183219211
57	0.4062073793
58	0.3947222459
59	0.3829963397
60	0.3717151435
61	0.3587907463
62	0.3511606518
63	0.3370295148
64	0.3187166075
65	0.3090512278
66	0.3023454787
67	0.2964761103
68	0.289881829
69	0.2853516651
70	0.2788373446
71	0.2703554331
72	0.2652726604
73	0.2565054043
74	0.2452541098
75	0.2378693392
76	0.2241626198
77	0.2206720012
78	0.2149219355
79	0.2089950216
80	0.1990872358
81	0.1882511329
82	0.1846410402
83	0.1819374322
84	0.1727436693
85	0.1657721868
86	0.1599973205
87	0.1536897051
88	0.150857485
89	0.1468773234
90	0.1448200023
91	0.1419374197
92	0.1365159104
93	0.1338692454
94	0.1297131298
95	0.1266627857
96	0.1228632987
97	0.1186896301
98	0.1165654048
99	0.11400684
100	0.1127237571
101	0.1093095846
102	0.1090496516
103	0.1076466878
104	0.105845098
105	0.102187127
106	0.1020892928
107	0.09997208701
108	0.09984709842
109	0.09893856813
110	0.09716367674
111	0.09570857619
112	0.09542192939
113	0.09528786618
114	0.09408738996
115	0.09401932179
116	0.09357263159
117	0.09252875312
118	0.09074436819
119	0.09052293365
120	0.08845201908
121	0.08831883222
122	0.08814735019
123	0.08734616484
124	0.08719353689
125	0.0850777531
126	0.08431684277
127	0.08291686901
128	0.08266491825
129	0.0813247977
130	0.07942696532
131	0.07901391726
132	0.07834393824
133	0.07668699329
134	0.07662226821
135	0.0765697387
136	0.07649676919
137	0.07633585748
138	0.07512605436
139	0.07488022895
140	0.07478065438
141	0.07473868792
142	0.07373561418
143	0.07358906794
144	0.07340996841
145	0.07216362114
146	0.07181264357
147	0.07151608501
148	0.07145347016
149	0.06988642195
150	0.06911125468
151	0.06880277483
152	0.06699755347
153	0.06695668006
154	0.0669140751
155	0.06684458373
156	0.06636729258
157	0.06629708011
158	0.06611015037
159	0.06535149608
160	0.06529311766
161	0.06525028462
162	0.06496448399
163	0.06466651376
164	0.0644610841
165	0.06296188398
166	0.06235466
167	0.06178379177
168	0.06168078733
169	0.06153112044
170	0.06148317165
171	0.06145106713
172	0.06140982425
173	0.06136492933
174	0.06134637027
175	0.0608956869
176	0.06053580158
177	0.05937759284
178	0.05917876285
179	0.05905001251
180	0.05901071887
181	0.05895579026
182	0.0583519197
183	0.05744931752
184	0.0573129622
185	0.05721583432
186	0.05654016957
187	0.05651305878
188	0.0563878372
189	0.05576112865
190	0.05553288971
191	0.05551200807
192	0.05549087143
193	0.05530074636
194	0.05509055368
195	0.05491539423
196	0.05458997795
197	0.05438928864
198	0.05435709885
199	0.05432984031
200	0.05400138533
201	0.05352951206
202	0.05338669464
203	0.05335004002
204	0.052906543
205	0.05288005432
206	0.05275334172
207	0.05260573246
208	0.05251448332
209	0.05250140975
210	0.05212546335
211	0.05173040956
212	0.05155232887
213	0.05152964497
214	0.05151181428
215	0.0514642296
216	0.05135238823
217	0.05133446128
218	0.04999800296
219	0.04907281844
220	0.04904879331
221	0.04879827677
222	0.04818205964
223	0.04816881577
224	0.0481462717
225	0.04792947102
226	0.0479112647
227	0.04785764763
228	0.04779671577
229	0.04778313843
230	0.04746171596
231	0.04706453211
232	0.04693801198
233	0.04660676569
234	0.0465818342
235	0.0460258774
236	0.0460060169
237	0.0459943694
238	0.04594432484
239	0.04590762539
240	0.04540178024
241	0.0453892876
242	0.04473903935
243	0.04445663647
244	0.04443265044
245	0.04439846469
246	0.04437172817
247	0.04435792214
248	0.04430445997
249	0.04428369477
250	0.04363227395
251	0.04345211348
252	0.04331865501
253	0.0431716479
254	0.04315442611
255	0.04314080969
256	0.04296966788
257	0.04293239724
258	0.0427911544
259	0.04275612616
260	0.04212405974
261	0.04185275142
262	0.04159467531
263	0.04157708311
264	0.04156282295
265	0.04153154363
266	0.0411171267
267	0.04110111216
268	0.04103719722
269	0.04076163377
270	0.04074249673
271	0.04041909906
272	0.03972065386
273	0.0397004037
274	0.03940702279
275	0.03927224135
276	0.03877826101
277	0.03829498657
278	0.03827569475
279	0.03813500857
280	0.03810920358
281	0.03771235095
282	0.03760058252
283	0.03709425264
284	0.0370809373
285	0.0369288921
286	0.03686514548
287	0.03670922903
288	0.03669887856
289	0.03664792226
290	0.03658433335
291	0.03657212265
292	0.03647951663
293	0.03646743505
294	0.03645861013
295	0.03641618249
296	0.03639860417
297	0.03636286938
298	0.03635283394
299	0.03599973563
300	0.03547804194
301	0.03546302228
302	0.0350530733
303	0.03503911538
304	0.03488436565
305	0.03477484934
306	0.03473798464
307	0.03472435045
308	0.03459580713
309	0.034456515
310	0.03444423814
311	0.03443431385
312	0.03418937566
313	0.03411359682
314	0.0340032689
315	0.03389874103
316	0.03380863087
317	0.0336688791
318	0.03360327617
319	0.03350162356
320	0.03336410259
321	0.03330641865
322	0.03327181049
323	0.03300937622
324	0.03297632111
325	0.03280139498
326	0.03269570216
327	0.03266457707
328	0.03262279564
329	0.03253823407
330	0.03252815974
331	0.0325156226
332	0.03246107788
333	0.03245270914
334	0.03224645232
335	0.0317372848
336	0.03170892416
337	0.03169584453
338	0.03109374911
339	0.03085559224
340	0.0307826602
341	0.03075838129
342	0.03058122266
343	0.03057468515
344	0.03056957061
345	0.03007096901
346	0.03003047578
347	0.02978456637
348	0.02965629164
349	0.02956883413
350	0.02953014033
351	0.02948216305
352	0.02947351026
353	0.02938308061
354	0.02937546205
355	0.02884317083
356	0.02856784102
357	0.02855552763
358	0.02837832468
359	0.02829105698
360	0.02822913495
