iter	Accuracy	MultiClass
119	0.9849884527	0.1967625573
120	0.9826789838	0.1950245377
121	0.9826789838	0.1943455807
122	0.9826789838	0.1937326985
123	0.9838337182	0.1932260229
124	0.9826789838	0.1925105909
125	0.9838337182	0.1910015595
126	0.9849884527	0.1881777632
127	0.9849884527	0.1867794471
128	0.9849884527	0.183398446
129	0.9849884527	0.1817320983
130	0.9849884527	0.180735283
131	0.9849884527	0.179235906
132	0.9849884527	0.1782114596
133	0.9849884527	0.1777230924
134	0.9849884527	0.1765052758
135	0.9849884527	0.1754258321
136	0.9849884527	0.1744077727
137	0.9849884527	0.1718008267
138	0.9849884527	0.1708367558
139	0.9872979215	0.1690685454
140	0.9872979215	0.1674001628
141	0.9872979215	0.1665122836
142	0.9872979215	0.1661806844
143	0.9872979215	0.1646678618
144	0.9872979215	0.1639679284
145	0.9872979215	0.1636898668
146	0.9872979215	0.1632252434
147	0.9872979215	0.1624293439
148	0.9872979215	0.1613462123
149	0.9884526559	0.160887627
150	0.9884526559	0.1588383053
151	0.9884526559	0.1584314776
152	0.9884526559	0.1577380205
153	0.9884526559	0.1561109429
154	0.9884526559	0.1556723385
155	0.9884526559	0.1545854796
156	0.9884526559	0.152949993
157	0.9884526559	0.1521764141
158	0.9884526559	0.1514765211
159	0.9884526559	0.1496202593
160	0.9884526559	0.1485125325
161	0.9884526559	0.1481956826
162	0.9884526559	0.1477808878
163	0.9884526559	0.1473924644
164	0.9884526559	0.1469338031
165	0.9884526559	0.1459923936
166	0.9884526559	0.1448908944
167	0.9884526559	0.1439518737
168	0.9884526559	0.1436916335
169	0.9884526559	0.1426510886
170	0.9884526559	0.1419125665
171	0.9884526559	0.1403802275
172	0.9884526559	0.1396011779
173	0.9884526559	0.1387824095
174	0.9884526559	0.1366416885
175	0.9884526559	0.1360179801
176	0.9884526559	0.1339843037
177	0.9884526559	0.1330911121
178	0.9884526559	0.1325008355
179	0.9884526559	0.1322534482
180	0.9884526559	0.1314729895
181	0.9884526559	0.1305077036
182	0.9884526559	0.1295312259
183	0.9884526559	0.128926832
184	0.9884526559	0.1283850768
185	0.9884526559	0.1272531451
186	0.9884526559	0.1269289729
187	0.9884526559	0.1266163637
188	0.9896073903	0.1260756002
189	0.9896073903	0.1254683283
